,GDP,Year
1,13995067817.5092,1960
2,8022222222.22222,1961
3,8922222222.22222,1962
4,10355555555.5556,1963
5,11177777777.7778,1964
6,11944444444.4444,1965
7,14122222222.2222,1966
8,15666666666.6667,1967
9,1.75e+10,1968
10,19466666666.6667,1969
11,17086956521.7391,1970
12,16256619963.7997,1971
13,20431095406.3604,1972
14,25724381625.4417,1973
15,35599913836.4328,1974
16,44633707242.7642,1975
17,51280134554.2889,1976
18,58676813687.3681,1977
19,65147022485.7919,1978
20,89394085658.2038,1979
21,68789289565.7434,1980
22,71040020140.4436,1981
23,64546332580.7583,1982
24,61678280115.4987,1983
25,59989909457.8379,1984
26,67234948264.5987,1985
27,75728009962.7878,1986
28,87172789528.3316,1987
29,90852814004.9917,1988
30,107143348667.094,1989
31,150676291094.21,1990
32,150027833333.333,1991
33,158459130434.783,1992
34,180169736363.636,1993
35,130690172297.297,1994
36,169485941048.035,1995
37,181475555282.555,1996
38,189834649111.257,1997
39,275769083237.438,1998
40,255883476599.809,1999
41,272979846449.136,2000
42,200252121409.922,2001
43,238428211252.654,2002
44,311822906256.246,2003
45,404786390740.091,2004
46,501416344150.045,2005
47,552487224361.218,2006
48,675770204927.469,2007
49,764335766423.358,2008
50,6.4464e+11,2009
51,771901783337.77,2010
52,832523582089.552,2011
53,873982182628.062,2012
54,950579367580.628,2013
55,934185972127.028,2014
56,859796691176.471,2015
57,863721731068.508,2016
58,851549299635.427,2017
